plant_name,medical_uses,cures_disease,image_path
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\339.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\340.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\341.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\342.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\343.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\344.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\345.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\346.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\347.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\348.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\349.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\350.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\351.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4230.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4231.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4232.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4233.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4234.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4235.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4236.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4237.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4238.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4239.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4240.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4241.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4242.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4243.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4244.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4245.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4246.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4247.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4248.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4249.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4250.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4251.jpg
Aloevera,"Skin treatment, digestion aid","Burns, acne, constipation",C:/Users/abdul/OneDrive/Desktop/medical plant/archive/Medicinal plant dataset\Aloevera\4252.jpg
